,year,month,EXPORT_GOODS_bln_usd,IMPORT_GOODS_bln_usd
1999-01-31,1999,1,4.5,2.7
1999-02-28,1999,2,4.9,3.0
1999-03-31,1999,3,5.8,3.5
1999-04-30,1999,4,6.6,3.3
1999-05-31,1999,5,5.1,2.9
1999-06-30,1999,6,5.4,4.0
1999-07-31,1999,7,6.3,3.2
1999-08-31,1999,8,6.2,3.1
1999-09-30,1999,9,6.4,3.1
1999-10-31,1999,10,7.0,3.4
1999-11-30,1999,11,7.6,3.5
1999-12-31,1999,12,9.7,4.0
2000-01-31,2000,1,6.8,2.9
2000-02-29,2000,2,8.0,3.4
2000-03-31,2000,3,9.1,3.7
2000-04-30,2000,4,8.3,3.4
2000-05-31,2000,5,8.5,3.4
2000-06-30,2000,6,8.7,3.6
2000-07-31,2000,7,8.6,3.6
2000-08-31,2000,8,9.1,3.8
2000-09-30,2000,9,9.0,3.8
2000-10-31,2000,10,8.9,4.1
2000-11-30,2000,11,10.1,4.4
2000-12-31,2000,12,10.1,4.9
2001-01-31,2001,1,8.4,3.2
2001-02-28,2001,2,8.2,3.7
2001-03-31,2001,3,8.9,4.3
2001-04-30,2001,4,8.5,4.4
2001-05-31,2001,5,8.5,4.6
2001-06-30,2001,6,9.2,4.7
2001-07-31,2001,7,8.1,4.4
2001-08-31,2001,8,9.0,4.6
2001-09-30,2001,9,8.5,4.2
2001-10-31,2001,10,8.0,4.8
2001-11-30,2001,11,8.4,5.1
2001-12-31,2001,12,8.2,5.7
2002-01-31,2002,1,6.7,3.7
2002-02-28,2002,2,6.7,4.0
2002-03-31,2002,3,8.5,4.7
2002-04-30,2002,4,9.5,5.1
2002-05-31,2002,5,8.6,4.7
2002-06-30,2002,6,8.2,5.0
2002-07-31,2002,7,9.3,5.5
2002-08-31,2002,8,10.0,5.1
2002-09-30,2002,9,9.7,5.1
2002-10-31,2002,10,9.9,5.9
2002-11-30,2002,11,9.3,5.7
2002-12-31,2002,12,11.0,6.5
2003-01-31,2003,1,9.6,4.7
2003-02-28,2003,2,9.9,5.2
2003-03-31,2003,3,11.6,6.0
2003-04-30,2003,4,10.2,6.2
2003-05-31,2003,5,10.5,5.9
